Days;prices;Beds;Baths;Squares;Type;Address;Broker;links
57 days on Zillow;$300,000;9;3;976;Multi-family home for sale;755 Schenck Ave, Brooklyn, NY 11207;Big World Realty Inc (631-648-9096);  https://www.zillow.com/homedetails/755-Schenck-Ave-Brooklyn-NY-11207/30647668_zpid/
34 days on Zillow;$749,000;5;4;60;House for sale;1611 Plymouth Ave #A, Bronx, NY 10461;Keystone Realty USA Corp (347-419-5268);  https://www.zillow.com/homedetails/1611-Plymouth-Ave-A-Bronx-NY-10461/2076844014_zpid/
No Days on Zillow;$699,000;4;3;806;House for sale;2541 Mill Ave, Brooklyn, NY 11234;5 Boro Realty Corp;  https://www.zillow.com/homedetails/2541-Mill-Ave-Brooklyn-NY-11234/30788973_zpid/
219 days on Zillow;$113,000;Studio;1;450;Condo for sale;100 W 57th St APT 12Q, New York, NY 10019;Pergolotti Realty (917-415-6609);  https://www.zillow.com/homedetails/100-W-57th-St-APT-12Q-New-York-NY-10019/305378593_zpid/
47 days on Zillow;$150,000;Studio;1;650;Condo for sale;100 W 57th St APT 12I, New York, NY 10019;Alidade Realty Services LLC (212-586-9566);  https://www.zillow.com/homedetails/100-W-57th-St-APT-12I-New-York-NY-10019/81776186_zpid/
75 days on Zillow;$250,000;3;2;632;House for sale;8829 183rd St, Jamaica, NY 11423;JOSHUAS REALTY;  https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/
15 days on Zillow;$795,000;3;4;300;Condo for sale;303 E 57th St APT 44G, New York, NY 10022;Bohemia Realty Group (212-663-6215 x116);  https://www.zillow.com/homedetails/303-E-57th-St-APT-44G-New-York-NY-10022/2076710336_zpid/
No Days on Zillow;$799,000;3;3;200;Condo for sale;100 W 57th St UNIT 4JK, New York, NY 10019;Warburg Realty;  https://www.zillow.com/homedetails/100-W-57th-St-UNIT-4JK-New-York-NY-10019/306707664_zpid/
132 days on Zillow;$66,000,000;4;6;130;Condo for sale;111 W 57th St PENTHOUSE 72, New York, NY 10019;Douglas Elliman (212-203-5401);  https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/
No Days on Zillow;$635,000;4;3;400;House for sale;9807 Avenue L, Brooklyn, NY 11236;5 Boro Realty Corp (347-901-3106);  https://www.zillow.com/homedetails/9807-Avenue-L-Brooklyn-NY-11236/30776342_zpid/
1 day on Zillow;$249,888;1;1;725;Condo for sale;83-80 118th St APT 5C, Kew Gardens, NY 11415;Keller Williams Legendary (516-328-8600);  https://www.zillow.com/homedetails/83-80-118th-St-APT-5C-Kew-Gardens-NY-11415/79730012_zpid/
10 days on Zillow;$949,000;5;3;975;Multi-family home for sale;5110 Beverley Rd, Brooklyn, NY 11203;Compass;  https://www.zillow.com/homedetails/5110-Beverley-Rd-Brooklyn-NY-11203/30655765_zpid/
21 days on Zillow;$469,000;4;2;0;House for sale;11620 Van Wyck Expy, Jamaica, NY 11420;Douglas Elliman Real Estate (516-466-2100);  https://www.zillow.com/homedetails/11620-Van-Wyck-Expy-Jamaica-NY-11420/32174676_zpid/
3 days on Zillow;$574,800;4;3;216;House for sale;206 Perry Ave, Staten Island, NY 10314;Tom Crimmins Realty, Ltd. (718-370-3200);  https://www.zillow.com/homedetails/206-Perry-Ave-Staten-Island-NY-10314/32291028_zpid/
13 days on Zillow;$189,000;1;1;650;Condo for sale;224 Lefferts Ave APT 1, Brooklyn, NY 11225;Virtue Realty LTD (718-648-2341);  https://www.zillow.com/homedetails/224-Lefferts-Ave-APT-1-Brooklyn-NY-11225/2103422698_zpid/
No Days on Zillow;$490,000;2;2;100;House for sale;336 King Ave, Bronx, NY 10464;ATLANTIC EMERITUS REALTY INC (718-885-1111);  https://www.zillow.com/homedetails/336-King-Ave-Bronx-NY-10464/29851027_zpid/
36 days on Zillow;$900,000;5;3;804;House for sale;110 Highland Pl, Brooklyn, NY 11208;Compass (917-679-9687);  https://www.zillow.com/homedetails/110-Highland-Pl-Brooklyn-NY-11208/30637571_zpid/
No Days on Zillow;$925,000;3;2;0;House for sale;43-20 219th St, Bayside, NY 11361;East Coast Realtors Inc. (718-866-6693);  https://www.zillow.com/homedetails/43-20-219th-St-Bayside-NY-11361/2076768443_zpid/
34 days on Zillow;$299,000;3;1;479;House for sale;13181 Francis Lewis Blvd, Laurelton, NY 11413;SOWAE CORP (646-619-7424);  https://www.zillow.com/homedetails/13181-Francis-Lewis-Blvd-Laurelton-NY-11413/32200876_zpid/
114 days on Zillow;$359,000;2;1;0;Condo for sale;534 Graham Ave APT 16, Brooklyn, NY 11222;Corcoran (917-709-1057);  https://www.zillow.com/homedetails/534-Graham-Ave-APT-16-Brooklyn-NY-11222/2085219837_zpid/
21 hours ago;$750,000;3;2;127;House for sale;20027 26th Ave, Flushing, NY 11360;MEHOME Realty (718-475-9589);  https://www.zillow.com/homedetails/20027-26th-Ave-Flushing-NY-11360/32054482_zpid/
24 days on Zillow;$275,000;2;1;965;Condo for sale;6 Fordham Hill Oval APT 6G, Bronx, NY 10468;Real Broker NY LLC (855-450-0442);  https://www.zillow.com/homedetails/6-Fordham-Hill-Oval-APT-6G-Bronx-NY-10468/244465965_zpid/
57 days on Zillow;$185,000;3;2;0;House for sale;163-45 Cross Bay Blvd, Howard Beach, NY 11414;Charles Rutenberg Realty Inc (516-575-7500);  https://www.zillow.com/homedetails/163-45-Cross-Bay-Blvd-Howard-Beach-NY-11414/2080383358_zpid/
308 days on Zillow;$295,000;3;1;400;House for sale;9934 Bellaire Pl, Jamaica, NY 11429;SOWAE CORP (646-619-7424);  https://www.zillow.com/homedetails/9934-Bellaire-Pl-Jamaica-NY-11429/32154005_zpid/
75 days on Zillow;$679,000;5;5;200;House for sale;113-34 200th St, Saint Albans, NY 11412;My Home Advisors (516-425-3286);  https://www.zillow.com/homedetails/113-34-200th-St-Saint-Albans-NY-11412/2080078407_zpid/
2 days on Zillow;$995,000;3;3;800;For sale by owner;8906 70th Ave, Flushing, NY 11375;;  https://www.zillow.com/homedetails/8906-70th-Ave-Flushing-NY-11375/32020038_zpid/
32 days on Zillow;$200,000;3;1;900;Condo for sale;526 W 158th St APT 51, New York, NY 10032;Bond New York (424-245-0705);  https://www.zillow.com/homedetails/526-W-158th-St-APT-51-New-York-NY-10032/2106069796_zpid/
No Days on Zillow;$438,000;3;2;0;Condo for sale;18-70 211th St APT 2D, Bayside, NY 11360;Douglas Elliman Real Estate (718-631-8900);  https://www.zillow.com/homedetails/18-70-211th-St-APT-2D-Bayside-NY-11360/89139258_zpid/
39 days on Zillow;$725,000;3;2;280;House for sale;3910 Clarendon Rd, Brooklyn, NY 11203;Coldwell Banker Reliable (718-921-3100);  https://www.zillow.com/homedetails/3910-Clarendon-Rd-Brooklyn-NY-11203/30661709_zpid/
No Days on Zillow;$275,000;Studio;1;0;Condo for sale;303 E 57th St APT 27L, New York, NY 10022;The Lion Real Estate (347-298-5466);  https://www.zillow.com/homedetails/303-E-57th-St-APT-27L-New-York-NY-10022/120560948_zpid/
